list_name,topic,line_no,md_title,source_note,paper_url,arxiv_id,occurrences_in_markdown,found_in_arxiv_api,arxiv_id_versioned,arxiv_title,arxiv_abstract,authors,published,updated,primary_category,categories,comment,doi,journal_ref,arxiv_url,pdf_url
The NLP,Machine Translation,876,Survey of Low-Resource Machine Translation.,Comput. Linguistics 2022,https://export.arxiv.org/pdf/2109.00486,2109.00486,1,True,2109.00486v3,Survey of Low-Resource Machine Translation,We present a survey covering the state of the art in low-resource machine translation research. There are currently around 7000 languages spoken in the world and almost all language pairs lack significant resources for training machine translation models. There has been increasing interest in research addressing the challenge of producing useful translation models when very little translated training data is available. We present a summary of this topical research field and provide a description of the techniques evaluated by researchers in several recent shared tasks in low-resource MT.,Barry Haddow | Rachel Bawden | Antonio Valerio Miceli Barone | Jindřich Helcl | Alexandra Birch,2021-09-01T16:57:58Z,2022-02-07T15:50:14Z,cs.CL,cs.CL,,,,http://arxiv.org/abs/2109.00486v3,https://arxiv.org/pdf/2109.00486v3
The NLP,Machine Translation,880,The Query Translation Landscape: a Survey.,arXiv 2019,https://arxiv.org/abs/1910.03118,1910.03118,1,True,1910.03118v1,The Query Translation Landscape: a Survey,"Whereas the availability of data has seen a manyfold increase in past years, its value can be only shown if the data variety is effectively tackled ---one of the prominent Big Data challenges. The lack of data interoperability limits the potential of its collective use for novel applications. Achieving interoperability through the full transformation and integration of diverse data structures remains an ideal that is hard, if not impossible, to achieve. Instead, methods that can simultaneously interpret different types of data available in different data structures and formats have been explored. On the other hand, many query languages have been designed to enable users to interact with the data, from relational, to object-oriented, to hierarchical, to the multitude emerging NoSQL languages. Therefore, the interoperability issue could be solved not by enforcing physical data transformation, but by looking at techniques that are able to query heterogeneous sources using one uniform language. Both industry and research communities have been keen to develop such techniques, which require the translation of a chosen 'universal' query language to the various data model specific query languages that make the underlying data accessible. In this article, we survey more than forty query translation methods and tools for popular query languages, and classify them according to eight criteria. In particular, we study which query language is a most suitable candidate for that 'universal' query language. Further, the results enable us to discover the weakly addressed and unexplored translation paths, to discover gaps and to learn lessons that can benefit future research in the area.",Mohamed Nadjib Mami | Damien Graux | Harsh Thakkar | Simon Scerri | Sören Auer | Jens Lehmann,2019-10-07T22:37:33Z,2019-10-07T22:37:33Z,cs.DB,cs.CL cs.DB cs.IR,"25 pages, 5 tables, 92 references",,,http://arxiv.org/abs/1910.03118v1,https://arxiv.org/pdf/1910.03118v1
The NLP,Named Entity Recognition,894,A Survey of Named Entity Recognition in Assamese and other Indian Languages.,arXiv 2014,https://arxiv.org/abs/1407.2918,1407.2918,1,True,1407.2918v1,A Survey of Named Entity Recognition in Assamese and other Indian Languages,"Named Entity Recognition is always important when dealing with major Natural Language Processing tasks such as information extraction, question-answering, machine translation, document summarization etc so in this paper we put forward a survey of Named Entities in Indian Languages with particular reference to Assamese. There are various rule-based and machine learning approaches available for Named Entity Recognition. At the very first of the paper we give an idea of the available approaches for Named Entity Recognition and then we discuss about the related research in this field. Assamese like other Indian languages is agglutinative and suffers from lack of appropriate resources as Named Entity Recognition requires large data sets, gazetteer list, dictionary etc and some useful feature like capitalization as found in English cannot be found in Assamese. Apart from this we also describe some of the issues faced in Assamese while doing Named Entity Recognition.",Gitimoni Talukdar | Pranjal Protim Borah | Arup Baruah,2014-07-09T13:59:27Z,2014-07-09T13:59:27Z,cs.CL,cs.CL,ICONACC-2014,,,http://arxiv.org/abs/1407.2918v1,https://arxiv.org/pdf/1407.2918v1
The NLP,Named Entity Recognition,898,A Survey on Deep Learning for Named Entity Recognition.,IEEE Trans. Knowl. Data Eng. 2022,https://arxiv.org/abs/1812.09449,1812.09449,1,True,1812.09449v3,A Survey on Deep Learning for Named Entity Recognition,"Named entity recognition (NER) is the task to identify mentions of rigid designators from text belonging to predefined semantic types such as person, location, organization etc. NER always serves as the foundation for many natural language applications such as question answering, text summarization, and machine translation. Early NER systems got a huge success in achieving good performance with the cost of human engineering in designing domain-specific features and rules. In recent years, deep learning, empowered by continuous real-valued vector representations and semantic composition through nonlinear processing, has been employed in NER systems, yielding stat-of-the-art performance. In this paper, we provide a comprehensive review on existing deep learning techniques for NER. We first introduce NER resources, including tagged NER corpora and off-the-shelf NER tools. Then, we systematically categorize existing works based on a taxonomy along three axes: distributed representations for input, context encoder, and tag decoder. Next, we survey the most representative methods for recent applied techniques of deep learning in new NER problem settings and applications. Finally, we present readers with the challenges faced by NER systems and outline future directions in this area.",Jing Li | Aixin Sun | Jianglei Han | Chenliang Li,2018-12-22T04:54:13Z,2020-03-18T15:57:10Z,cs.CL,cs.CL,"20 pages, 12 figures, 3 tables",10.1109/TKDE.2020.2981314,,http://arxiv.org/abs/1812.09449v3,https://arxiv.org/pdf/1812.09449v3
The NLP,Named Entity Recognition,902,A Survey on Recent Advances in Named Entity Recognition from Deep Learning models.,COLING 2018,https://arxiv.org/abs/1910.11470,1910.11470,1,True,1910.11470v1,A Survey on Recent Advances in Named Entity Recognition from Deep Learning models,"Named Entity Recognition (NER) is a key component in NLP systems for question answering, information retrieval, relation extraction, etc. NER systems have been studied and developed widely for decades, but accurate systems using deep neural networks (NN) have only been introduced in the last few years. We present a comprehensive survey of deep neural network architectures for NER, and contrast them with previous approaches to NER based on feature engineering and other supervised or semi-supervised learning algorithms. Our results highlight the improvements achieved by neural networks, and show how incorporating some of the lessons learned from past work on feature-based NER systems can yield further improvements.",Vikas Yadav | Steven Bethard,2019-10-25T00:45:48Z,2019-10-25T00:45:48Z,cs.CL,cs.CL cs.LG,Published at COLING 2018,,,http://arxiv.org/abs/1910.11470v1,https://arxiv.org/pdf/1910.11470v1
The NLP,Named Entity Recognition,906,Design Challenges and Misconceptions in Neural Sequence Labeling.,COLING 2018,https://arxiv.org/abs/1806.04470,1806.04470,2,True,1806.04470v2,Design Challenges and Misconceptions in Neural Sequence Labeling,"We investigate the design challenges of constructing effective and efficient neural sequence labeling systems, by reproducing twelve neural sequence labeling models, which include most of the state-of-the-art structures, and conduct a systematic model comparison on three benchmarks (i.e. NER, Chunking, and POS tagging). Misconceptions and inconsistent conclusions in existing literature are examined and clarified under statistical experiments. In the comparison and analysis process, we reach several practical conclusions which can be useful to practitioners.",Jie Yang | Shuailong Liang | Yue Zhang,2018-06-12T12:43:42Z,2018-07-12T09:31:10Z,cs.CL,cs.CL,Accepted by COLING 2018 (Best Paper Award),,,http://arxiv.org/abs/1806.04470v2,https://arxiv.org/pdf/1806.04470v2
The NLP,Natural Language Inference,912,A Comparative Survey of Recent Natural Language Interfaces for Databases.,VLDB J. 2019,https://arxiv.org/abs/1906.08990,1906.08990,1,True,1906.08990v1,A Comparative Survey of Recent Natural Language Interfaces for Databases,"Over the last few years natural language interfaces (NLI) for databases have gained significant traction both in academia and industry. These systems use very different approaches as described in recent survey papers. However, these systems have not been systematically compared against a set of benchmark questions in order to rigorously evaluate their functionalities and expressive power. In this paper, we give an overview over 24 recently developed NLIs for databases. Each of the systems is evaluated using a curated list of ten sample questions to show their strengths and weaknesses. We categorize the NLIs into four groups based on the methodology they are using: keyword-, pattern-, parsing-, and grammar-based NLI. Overall, we learned that keyword-based systems are enough to answer simple questions. To solve more complex questions involving subqueries, the system needs to apply some sort of parsing to identify structural dependencies. Grammar-based systems are overall the most powerful ones, but are highly dependent on their manually designed rules. In addition to providing a systematic analysis of the major systems, we derive lessons learned that are vital for designing NLIs that can answer a wide range of user questions.",Katrin Affolter | Kurt Stockinger | Abraham Bernstein,2019-06-21T07:49:36Z,2019-06-21T07:49:36Z,cs.DB,cs.CL cs.DB cs.LG,,10.1007/s00778-019-00567-8,VLDB Journal 2019,http://arxiv.org/abs/1906.08990v1,https://arxiv.org/pdf/1906.08990v1
The NLP,Natural Language Inference,916,Beyond Leaderboards: A survey of methods for revealing weaknesses in Natural Language Inference data and models.,arXiv 2020,https://arxiv.org/abs/2005.14709,2005.14709,1,True,2005.14709v1,Beyond Leaderboards: A survey of methods for revealing weaknesses in Natural Language Inference data and models,"Recent years have seen a growing number of publications that analyse Natural Language Inference (NLI) datasets for superficial cues, whether they undermine the complexity of the tasks underlying those datasets and how they impact those models that are optimised and evaluated on this data. This structured survey provides an overview of the evolving research area by categorising reported weaknesses in models and datasets and the methods proposed to reveal and alleviate those weaknesses for the English language. We summarise and discuss the findings and conclude with a set of recommendations for possible future research directions. We hope it will be a useful resource for researchers who propose new datasets, to have a set of tools to assess the suitability and quality of their data to evaluate various phenomena of interest, as well as those who develop novel architectures, to further understand the implications of their improvements with respect to their model's acquired capabilities.",Viktor Schlegel | Goran Nenadic | Riza Batista-Navarro,2020-05-29T17:55:57Z,2020-05-29T17:55:57Z,cs.CL,cs.CL,10 Pages,,,http://arxiv.org/abs/2005.14709v1,https://arxiv.org/pdf/2005.14709v1
The NLP,Natural Language Inference,920,"Recent Advances in Natural Language Inference: A Survey of Benchmarks, Resources, and Approaches.",arXiv 2019,https://arxiv.org/pdf/1904.01172,1904.01172,2,True,1904.01172v3,"Recent Advances in Natural Language Inference: A Survey of Benchmarks, Resources, and Approaches","In the NLP community, recent years have seen a surge of research activities that address machines' ability to perform deep language understanding which goes beyond what is explicitly stated in text, rather relying on reasoning and knowledge of the world. Many benchmark tasks and datasets have been created to support the development and evaluation of such natural language inference ability. As these benchmarks become instrumental and a driving force for the NLP research community, this paper aims to provide an overview of recent benchmarks, relevant knowledge resources, and state-of-the-art learning and inference approaches in order to support a better understanding of this growing field.",Shane Storks | Qiaozi Gao | Joyce Y. Chai,2019-04-02T02:09:01Z,2020-02-26T14:28:42Z,cs.CL,cs.CL,,,,http://arxiv.org/abs/1904.01172v3,https://arxiv.org/pdf/1904.01172v3
The NLP,Natural Language Processing,930,A Brief Survey and Comparative Study of Recent Development of Pronoun Coreference Resolution.,arXiv 2020,https://arxiv.org/pdf/2009.12721.pdf,2009.12721,1,True,2009.12721v1,A Brief Survey and Comparative Study of Recent Development of Pronoun Coreference Resolution,"Pronoun Coreference Resolution (PCR) is the task of resolving pronominal expressions to all mentions they refer to. Compared with the general coreference resolution task, the main challenge of PCR is the coreference relation prediction rather than the mention detection. As one important natural language understanding (NLU) component, pronoun resolution is crucial for many downstream tasks and still challenging for existing models, which motivates us to survey existing approaches and think about how to do better. In this survey, we first introduce representative datasets and models for the ordinary pronoun coreference resolution task. Then we focus on recent progress on hard pronoun coreference resolution problems (e.g., Winograd Schema Challenge) to analyze how well current models can understand commonsense. We conduct extensive experiments to show that even though current models are achieving good performance on the standard evaluation set, they are still not ready to be used in real applications (e.g., all SOTA models struggle on correctly resolving pronouns to infrequent objects). All experiment codes are available at https://github.com/HKUST-KnowComp/PCR.",Hongming Zhang | Xinran Zhao | Yangqiu Song,2020-09-27T01:40:01Z,2020-09-27T01:40:01Z,cs.CL,cs.CL,,,,http://arxiv.org/abs/2009.12721v1,https://arxiv.org/pdf/2009.12721v1
The NLP,Natural Language Processing,934,A Comprehensive Survey of Grammar Error Correction.,arXiv 2020,https://arxiv.org/abs/2005.06600,2005.06600,1,True,2005.06600v1,A Comprehensive Survey of Grammar Error Correction,"Grammar error correction (GEC) is an important application aspect of natural language processing techniques. The past decade has witnessed significant progress achieved in GEC for the sake of increasing popularity of machine learning and deep learning, especially in late 2010s when near human-level GEC systems are available. However, there is no prior work focusing on the whole recapitulation of the progress. We present the first survey in GEC for a comprehensive retrospect of the literature in this area. We first give the introduction of five public datasets, data annotation schema, two important shared tasks and four standard evaluation metrics. More importantly, we discuss four kinds of basic approaches, including statistical machine translation based approach, neural machine translation based approach, classification based approach and language model based approach, six commonly applied performance boosting techniques for GEC systems and two data augmentation methods. Since GEC is typically viewed as a sister task of machine translation, many GEC systems are based on neural machine translation (NMT) approaches, where the neural sequence-to-sequence model is applied. Similarly, some performance boosting techniques are adapted from machine translation and are successfully combined with GEC systems for enhancement on the final performance. Furthermore, we conduct an analysis in level of basic approaches, performance boosting techniques and integrated GEC systems based on their experiment results respectively for more clear patterns and conclusions. Finally, we discuss five prospective directions for future GEC researches.",Yu Wang | Yuelin Wang | Jie Liu | Zhuo Liu,2020-05-02T04:46:52Z,2020-05-02T04:46:52Z,cs.CL,cs.CL cs.LG,,,,http://arxiv.org/abs/2005.06600v1,https://arxiv.org/pdf/2005.06600v1
The NLP,Natural Language Processing,938,A Neural Entity Coreference Resolution Review.,Expert Syst. Appl. 2021,https://arxiv.org/abs/1910.09329,1910.09329,1,True,1910.09329v2,A Neural Entity Coreference Resolution Review,"Entity Coreference Resolution is the task of resolving all mentions in a document that refer to the same real world entity and is considered as one of the most difficult tasks in natural language understanding. It is of great importance for downstream natural language processing tasks such as entity linking, machine translation, summarization, chatbots, etc. This work aims to give a detailed review of current progress on solving Coreference Resolution using neural-based approaches. It also provides a detailed appraisal of the datasets and evaluation metrics in the field, as well as the subtask of Pronoun Resolution that has seen various improvements in the recent years. We highlight the advantages and disadvantages of the approaches, the challenges of the task, the lack of agreed-upon standards in the task and propose a way to further expand the boundaries of the field.",Nikolaos Stylianou | Ioannis Vlahavas,2019-10-21T12:59:32Z,2020-12-09T12:24:28Z,cs.CL,cs.AI cs.CL,"52 pages, 8 figures, 4 tables, Published in Expert Systems with Applications",10.1016/j.eswa.2020.114466,"Expert Systems with Applications, Volume 168, 15 April 2021, 114466",http://arxiv.org/abs/1910.09329v2,https://arxiv.org/pdf/1910.09329v2
The NLP,Natural Language Processing,942,A Primer on Neural Network Models for Natural Language Processing.,J. Artif. Intell. Res. 2016,https://arxiv.org/abs/1510.00726,1510.00726,1,True,1510.00726v1,A Primer on Neural Network Models for Natural Language Processing,"Over the past few years, neural networks have re-emerged as powerful machine-learning models, yielding state-of-the-art results in fields such as image recognition and speech processing. More recently, neural network models started to be applied also to textual natural language signals, again with very promising results. This tutorial surveys neural network models from the perspective of natural language processing research, in an attempt to bring natural-language researchers up to speed with the neural techniques. The tutorial covers input encoding for natural language tasks, feed-forward networks, convolutional networks, recurrent networks and recursive networks, as well as the computation graph abstraction for automatic gradient computation.",Yoav Goldberg,2015-10-02T20:17:33Z,2015-10-02T20:17:33Z,cs.CL,cs.CL,,,,http://arxiv.org/abs/1510.00726v1,https://arxiv.org/pdf/1510.00726v1
The NLP,Natural Language Processing,946,A Review of Bangla Natural Language Processing Tasks and the Utility of Transformer Models.,arXiv 2021,https://arxiv.org/abs/2107.03844,2107.03844,1,True,2107.03844v3,A Review of Bangla Natural Language Processing Tasks and the Utility of Transformer Models,"Bangla -- ranked as the 6th most widely spoken language across the world (https://www.ethnologue.com/guides/ethnologue200), with 230 million native speakers -- is still considered as a low-resource language in the natural language processing (NLP) community. With three decades of research, Bangla NLP (BNLP) is still lagging behind mainly due to the scarcity of resources and the challenges that come with it. There is sparse work in different areas of BNLP; however, a thorough survey reporting previous work and recent advances is yet to be done. In this study, we first provide a review of Bangla NLP tasks, resources, and tools available to the research community; we benchmark datasets collected from various platforms for nine NLP tasks using current state-of-the-art algorithms (i.e., transformer-based models). We provide comparative results for the studied NLP tasks by comparing monolingual vs. multilingual models of varying sizes. We report our results using both individual and consolidated datasets and provide data splits for future research. We reviewed a total of 108 papers and conducted 175 sets of experiments. Our results show promising performance using transformer-based models while highlighting the trade-off with computational costs. We hope that such a comprehensive survey will motivate the community to build on and further advance the research on Bangla NLP.",Firoj Alam | Arid Hasan | Tanvirul Alam | Akib Khan | Janntatul Tajrin | Naira Khan | Shammur Absar Chowdhury,2021-07-08T13:49:46Z,2021-07-25T05:41:15Z,cs.CL,cs.AI cs.CL cs.IR cs.LG,"Under Review, Bangla language processing, text classification, sequence tagging, datasets, benchmarks, transformer models",,,http://arxiv.org/abs/2107.03844v3,https://arxiv.org/pdf/2107.03844v3
The NLP,Natural Language Processing,950,A Survey and Classification of Controlled Natural Languages.,Comput. Linguistics 2014,https://arxiv.org/abs/1507.01701,1507.01701,1,True,1507.01701v1,A Survey and Classification of Controlled Natural Languages,"What is here called controlled natural language (CNL) has traditionally been given many different names. Especially during the last four decades, a wide variety of such languages have been designed. They are applied to improve communication among humans, to improve translation, or to provide natural and intuitive representations for formal notations. Despite the apparent differences, it seems sensible to put all these languages under the same umbrella. To bring order to the variety of languages, a general classification scheme is presented here. A comprehensive survey of existing English-based CNLs is given, listing and describing 100 languages from 1930 until today. Classification of these languages reveals that they form a single scattered cloud filling the conceptual space between natural languages such as English on the one end and formal languages such as propositional logic on the other. The goal of this article is to provide a common terminology and a common model for CNL, to contribute to the understanding of their general nature, to provide a starting point for researchers interested in the area, and to help developers to make design decisions.",Tobias Kuhn,2015-07-07T08:23:31Z,2015-07-07T08:23:31Z,cs.CL,cs.CL,,10.1162/COLI_a_00168,"Computational Linguistics, March 2014, Vol. 40, No. 1, pages 121-170",http://arxiv.org/abs/1507.01701v1,https://arxiv.org/pdf/1507.01701v1
The NLP,Natural Language Processing,954,A Survey of Implicit Discourse Relation Recognition.,arXiv 2022,https://arxiv.org/pdf/2203.02982.pdf,2203.02982,1,True,2203.02982v1,A Survey of Implicit Discourse Relation Recognition,"A discourse containing one or more sentences describes daily issues and events for people to communicate their thoughts and opinions. As sentences are normally consist of multiple text segments, correct understanding of the theme of a discourse should take into consideration of the relations in between text segments. Although sometimes a connective exists in raw texts for conveying relations, it is more often the cases that no connective exists in between two text segments but some implicit relation does exist in between them. The task of implicit discourse relation recognition (IDRR) is to detect implicit relation and classify its sense between two text segments without a connective. Indeed, the IDRR task is important to diverse downstream natural language processing tasks, such as text summarization, machine translation and so on. This article provides a comprehensive and up-to-date survey for the IDRR task. We first summarize the task definition and data sources widely used in the field. We categorize the main solution approaches for the IDRR task from the viewpoint of its development history. In each solution category, we present and analyze the most representative methods, including their origins, ideas, strengths and weaknesses. We also present performance comparisons for those solutions experimented on a public corpus with standard data processing procedures. Finally, we discuss future research directions for discourse relation analysis.",Wei Xiang | Bang Wang,2022-03-06T15:12:53Z,2022-03-06T15:12:53Z,cs.CL,cs.CL,"IDRRSurvey-LaTeX v1.6, 32 pages with 9 figures",,,http://arxiv.org/abs/2203.02982v1,https://arxiv.org/pdf/2203.02982v1
The NLP,Natural Language Processing,958,A Survey on Bias and Fairness in Natural Language Processing.,arXiv 2022,https://arxiv.org/pdf/2204.09591.pdf,2204.09591,1,True,2204.09591v1,A Survey on Bias and Fairness in Natural Language Processing,"As NLP models become more integrated with the everyday lives of people, it becomes important to examine the social effect that the usage of these systems has. While these models understand language and have increased accuracy on difficult downstream tasks, there is evidence that these models amplify gender, racial and cultural stereotypes and lead to a vicious cycle in many settings. In this survey, we analyze the origins of biases, the definitions of fairness, and how different subfields of NLP mitigate bias. We finally discuss how future studies can work towards eradicating pernicious biases from NLP algorithms.",Rajas Bansal,2022-03-06T18:12:30Z,2022-03-06T18:12:30Z,cs.CL,cs.AI cs.CL,,,,http://arxiv.org/abs/2204.09591v1,https://arxiv.org/pdf/2204.09591v1
The NLP,Natural Language Processing,962,A Survey on Dynamic Neural Networks for Natural Language Processing.,arXiv 2022,https://arxiv.org/pdf/2202.07101.pdf,2202.07101,1,True,2202.07101v2,A Survey on Dynamic Neural Networks for Natural Language Processing,"Effectively scaling large Transformer models is a main driver of recent advances in natural language processing. Dynamic neural networks, as an emerging research direction, are capable of scaling up neural networks with sub-linear increases in computation and time by dynamically adjusting their computational path based on the input. Dynamic neural networks could be a promising solution to the growing parameter numbers of pretrained language models, allowing both model pretraining with trillions of parameters and faster inference on mobile devices. In this survey, we summarize progress of three types of dynamic neural networks in NLP: skimming, mixture of experts, and early exit. We also highlight current challenges in dynamic neural networks and directions for future research.",Canwen Xu | Julian McAuley,2022-02-15T00:13:05Z,2023-02-24T06:18:20Z,cs.CL,cs.AI cs.CL cs.LG,EACL 2023 Findings,,,http://arxiv.org/abs/2202.07101v2,https://arxiv.org/pdf/2202.07101v2
The NLP,Natural Language Processing,966,A Survey on In-context Learning.,arXiv 2023,https://arxiv.org/pdf/2301.00234.pdf,2301.00234,2,True,2301.00234v6,A Survey on In-context Learning,"With the increasing capabilities of large language models (LLMs), in-context learning (ICL) has emerged as a new paradigm for natural language processing (NLP), where LLMs make predictions based on contexts augmented with a few examples. It has been a significant trend to explore ICL to evaluate and extrapolate the ability of LLMs. In this paper, we aim to survey and summarize the progress and challenges of ICL. We first present a formal definition of ICL and clarify its correlation to related studies. Then, we organize and discuss advanced techniques, including training strategies, prompt designing strategies, and related analysis. Additionally, we explore various ICL application scenarios, such as data engineering and knowledge updating. Finally, we address the challenges of ICL and suggest potential directions for further research. We hope that our work can encourage more research on uncovering how ICL works and improving ICL.",Qingxiu Dong | Lei Li | Damai Dai | Ce Zheng | Jingyuan Ma | Rui Li | Heming Xia | Jingjing Xu | Zhiyong Wu | Tianyu Liu | Baobao Chang | Xu Sun | Lei Li | Zhifang Sui,2022-12-31T15:57:09Z,2024-10-05T11:47:02Z,cs.CL,cs.AI cs.CL,Update,,,http://arxiv.org/abs/2301.00234v6,https://arxiv.org/pdf/2301.00234v6
The NLP,Natural Language Processing,970,A Survey on Model Compression and Acceleration for Pretrained Language Models.,arXiv 2022,https://arxiv.org/pdf/2202.07105.pdf,2202.07105,2,True,2202.07105v2,A Survey on Model Compression and Acceleration for Pretrained Language Models,"Despite achieving state-of-the-art performance on many NLP tasks, the high energy cost and long inference delay prevent Transformer-based pretrained language models (PLMs) from seeing broader adoption including for edge and mobile computing. Efficient NLP research aims to comprehensively consider computation, time and carbon emission for the entire life-cycle of NLP, including data preparation, model training and inference. In this survey, we focus on the inference stage and review the current state of model compression and acceleration for pretrained language models, including benchmarks, metrics and methodology.",Canwen Xu | Julian McAuley,2022-02-15T00:18:47Z,2022-11-29T11:32:51Z,cs.CL,cs.AI cs.CL cs.LG,Accepted to AAAI 2023,,,http://arxiv.org/abs/2202.07105v2,https://arxiv.org/pdf/2202.07105v2
The NLP,Natural Language Processing,974,A Survey on Neural Network Language Models.,arXiv 2019,https://arxiv.org/abs/1906.03591,1906.03591,1,True,1906.03591v2,A Survey on Neural Network Language Models,"As the core component of Natural Language Processing (NLP) system, Language Model (LM) can provide word representation and probability indication of word sequences. Neural Network Language Models (NNLMs) overcome the curse of dimensionality and improve the performance of traditional LMs. A survey on NNLMs is performed in this paper. The structure of classic NNLMs is described firstly, and then some major improvements are introduced and analyzed. We summarize and compare corpora and toolkits of NNLMs. Further, some research directions of NNLMs are discussed.",Kun Jing | Jungang Xu,2019-06-09T08:15:53Z,2019-06-13T01:49:23Z,cs.CL,cs.CL cs.LG,,,,http://arxiv.org/abs/1906.03591v2,https://arxiv.org/pdf/1906.03591v2
The NLP,Natural Language Processing,978,A Survey on Recent Approaches for Natural Language Processing in Low-Resource Scenarios.,NAACL-HLT 2021,https://arxiv.org/pdf/2010.12309.pdf,2010.12309,1,True,2010.12309v3,A Survey on Recent Approaches for Natural Language Processing in Low-Resource Scenarios,"Deep neural networks and huge language models are becoming omnipresent in natural language applications. As they are known for requiring large amounts of training data, there is a growing body of work to improve the performance in low-resource settings. Motivated by the recent fundamental changes towards neural models and the popular pre-train and fine-tune paradigm, we survey promising approaches for low-resource natural language processing. After a discussion about the different dimensions of data availability, we give a structured overview of methods that enable learning when training data is sparse. This includes mechanisms to create additional labeled data like data augmentation and distant supervision as well as transfer learning settings that reduce the need for target supervision. A goal of our survey is to explain how these methods differ in their requirements as understanding them is essential for choosing a technique suited for a specific low-resource setting. Further key aspects of this work are to highlight open issues and to outline promising directions for future research.",Michael A. Hedderich | Lukas Lange | Heike Adel | Jannik Strötgen | Dietrich Klakow,2020-10-23T11:22:01Z,2021-04-09T13:48:02Z,cs.CL,cs.CL cs.LG,Accepted at NAACL 2021,,,http://arxiv.org/abs/2010.12309v3,https://arxiv.org/pdf/2010.12309v3
The NLP,Natural Language Processing,982,"A Survey on Text-to-SQL Parsing: Concepts, Methods, and Future Directions.",arXiv 2022,https://arxiv.org/pdf/2208.13629.pdf,2208.13629,2,True,2208.13629v1,"A Survey on Text-to-SQL Parsing: Concepts, Methods, and Future Directions","Text-to-SQL parsing is an essential and challenging task. The goal of text-to-SQL parsing is to convert a natural language (NL) question to its corresponding structured query language (SQL) based on the evidences provided by relational databases. Early text-to-SQL parsing systems from the database community achieved a noticeable progress with the cost of heavy human engineering and user interactions with the systems. In recent years, deep neural networks have significantly advanced this task by neural generation models, which automatically learn a mapping function from an input NL question to an output SQL query. Subsequently, the large pre-trained language models have taken the state-of-the-art of the text-to-SQL parsing task to a new level. In this survey, we present a comprehensive review on deep learning approaches for text-to-SQL parsing. First, we introduce the text-to-SQL parsing corpora which can be categorized as single-turn and multi-turn. Second, we provide a systematical overview of pre-trained language models and existing methods for text-to-SQL parsing. Third, we present readers with the challenges faced by text-to-SQL parsing and explore some potential future directions in this field.",Bowen Qin | Binyuan Hui | Lihan Wang | Min Yang | Jinyang Li | Binhua Li | Ruiying Geng | Rongyu Cao | Jian Sun | Luo Si | Fei Huang | Yongbin Li,2022-08-29T14:24:13Z,2022-08-29T14:24:13Z,cs.CL,cs.CL,,,,http://arxiv.org/abs/2208.13629v1,https://arxiv.org/pdf/2208.13629v1
The NLP,Natural Language Processing,986,An Introductory Survey on Attention Mechanisms in NLP Problems.,IntelliSys 2019,https://arxiv.org/pdf/1811.05544.pdf,1811.05544,1,True,1811.05544v1,An Introductory Survey on Attention Mechanisms in NLP Problems,"First derived from human intuition, later adapted to machine translation for automatic token alignment, attention mechanism, a simple method that can be used for encoding sequence data based on the importance score each element is assigned, has been widely applied to and attained significant improvement in various tasks in natural language processing, including sentiment classification, text summarization, question answering, dependency parsing, etc. In this paper, we survey through recent works and conduct an introductory summary of the attention mechanism in different NLP problems, aiming to provide our readers with basic knowledge on this widely used method, discuss its different variants for different tasks, explore its association with other techniques in machine learning, and examine methods for evaluating its performance.",Dichao Hu,2018-11-12T16:19:22Z,2018-11-12T16:19:22Z,cs.CL,cs.CL cs.LG stat.ML,9 pages,,,http://arxiv.org/abs/1811.05544v1,https://arxiv.org/pdf/1811.05544v1
The NLP,Natural Language Processing,994,Automatic Arabic Dialect Identification Systems for Written Texts: A Survey.,arXiv 2020,https://arxiv.org/abs/2009.12622,2009.12622,1,True,2009.12622v1,Automatic Arabic Dialect Identification Systems for Written Texts: A Survey,"Arabic dialect identification is a specific task of natural language processing, aiming to automatically predict the Arabic dialect of a given text. Arabic dialect identification is the first step in various natural language processing applications such as machine translation, multilingual text-to-speech synthesis, and cross-language text generation. Therefore, in the last decade, interest has increased in addressing the problem of Arabic dialect identification. In this paper, we present a comprehensive survey of Arabic dialect identification research in written texts. We first define the problem and its challenges. Then, the survey extensively discusses in a critical manner many aspects related to Arabic dialect identification task. So, we review the traditional machine learning methods, deep learning architectures, and complex learning approaches to Arabic dialect identification. We also detail the features and techniques for feature representations used to train the proposed systems. Moreover, we illustrate the taxonomy of Arabic dialects studied in the literature, the various levels of text processing at which Arabic dialect identification are conducted (e.g., token, sentence, and document level), as well as the available annotated resources, including evaluation benchmark corpora. Open challenges and issues are discussed at the end of the survey.",Maha J. Althobaiti,2020-09-26T15:33:16Z,2020-09-26T15:33:16Z,cs.CL,cs.CL cs.LG,,,,http://arxiv.org/abs/2009.12622v1,https://arxiv.org/pdf/2009.12622v1
